timestamp,order_id,item_name,quantity,item_price,total_item_price,total_order_price
2020-12-20 10:03:40+00:00,WASJtv0SzFvOQ3izLr7BqCgeV,White,3.0,5.5,16.5,60.5
2020-12-20 10:03:40+00:00,WASJtv0SzFvOQ3izLr7BqCgeV,White,8.0,5.5,44.0,60.5
2020-12-20 10:03:40+00:00,WASJtv0SzFvOQ3izLr7BqCgeV,White,3.0,5.5,16.5,60.5
2020-12-20 10:03:40+00:00,WASJtv0SzFvOQ3izLr7BqCgeV,White,8.0,5.5,44.0,60.5
2020-12-20 09:17:01+00:00,q6o4j8bxB2mh1dpXSdz4uS7eV,Cold Brew,2.0,6.8,13.6,13.6
2020-12-20 09:17:01+00:00,q6o4j8bxB2mh1dpXSdz4uS7eV,Cold Brew,2.0,6.8,13.6,13.6
2020-12-20 08:47:04+00:00,O0ga91Q7PZJnNYL8WDKmyWAfV,Canele,2.0,5.0,10.0,24.5
2020-12-20 08:47:04+00:00,O0ga91Q7PZJnNYL8WDKmyWAfV,Kouign aman,1.0,7.0,7.0,24.5
2020-12-20 08:47:04+00:00,O0ga91Q7PZJnNYL8WDKmyWAfV,Kouign aman,1.0,7.0,7.0,24.5
2020-12-20 08:47:04+00:00,O0ga91Q7PZJnNYL8WDKmyWAfV,Iced Cereal Milk Latte,1.0,7.5,7.5,24.5
2020-12-20 08:47:04+00:00,O0ga91Q7PZJnNYL8WDKmyWAfV,Canele,2.0,5.0,10.0,24.5
2020-12-20 08:47:04+00:00,O0ga91Q7PZJnNYL8WDKmyWAfV,Iced Cereal Milk Latte,1.0,7.5,7.5,24.5
2020-12-20 08:46:44+00:00,wTLILTMgqHaVtU20wl70SJweV,Granola,1.0,6.0,6.0,6.0
2020-12-20 08:46:44+00:00,wTLILTMgqHaVtU20wl70SJweV,Granola,1.0,6.0,6.0,6.0
2020-12-20 08:44:29+00:00,ykpxYK53GEYfAhZulGrg0k8eV,E&T,1.0,7.5,7.5,32.0
2020-12-20 08:44:29+00:00,ykpxYK53GEYfAhZulGrg0k8eV,White,3.0,5.5,19.5,32.0
2020-12-20 08:44:29+00:00,ykpxYK53GEYfAhZulGrg0k8eV,Gingerbread latte,1.0,5.0,5.0,32.0
2020-12-20 08:44:29+00:00,ykpxYK53GEYfAhZulGrg0k8eV,White,3.0,5.5,19.5,32.0
2020-12-20 08:44:29+00:00,ykpxYK53GEYfAhZulGrg0k8eV,E&T,1.0,7.5,7.5,32.0
2020-12-20 08:44:29+00:00,ykpxYK53GEYfAhZulGrg0k8eV,Gingerbread latte,1.0,5.0,5.0,32.0
2020-12-20 08:43:17+00:00,ecmnIaqyLABvIjUwMG9AGoxeV,White,1.0,5.5,5.5,19.5
2020-12-20 08:43:17+00:00,ecmnIaqyLABvIjUwMG9AGoxeV,White,1.0,5.5,6.5,19.5
