timestamp,order_id,item_name,quantity,item_price,total_item_price,total_order_price
2019-12-31 16:58:18+00:00,ywi1BGECA8LfpL5dDLBsETleV,White,2.0,7.0,0.0,0.0
2019-12-31 16:58:18+00:00,ywi1BGECA8LfpL5dDLBsETleV,Black,1.0,5.0,0.0,0.0
2019-12-31 14:58:05+00:00,U3HmzKRNqXWF0EgukhTe29ieV,Custom Amount,1.0,9.5,9.5,9.5
2019-12-31 14:57:56+00:00,6ybCNKFFFWzpgnc3lL4Qh32eV,Custom Amount,1.0,16.05,16.05,16.05
2019-12-31 14:57:47+00:00,SwK19cyoFh4wE3sZxevGInoeV,Custom Amount,1.0,13.0,13.0,13.0
2019-12-31 14:54:15+00:00,cL3WXZfiAGoIzI4V7rSAwfleV,Custom Amount,1.0,100.0,100.0,100.0
2019-12-31 14:53:53+00:00,yqLpGBmMAJbTJNb2WS6eGVveV,Custom Amount,-1.0,100.0,-100.0,-100.0
2019-12-31 14:51:50+00:00,io8YUE5ybi8KysZw6OKyZXieV,Custom Amount,1.0,100.0,100.0,100.0
2019-12-31 14:05:06+00:00,g5B0BRZdyQUTgojm1xJBy2ieV,White,1.0,7.0,7.0,7.0
2019-12-31 14:00:37+00:00,wJbP76DnbDIcLU49FBmHADyeV,White,1.0,5.0,5.0,5.0
2019-12-31 13:34:24+00:00,aswqbXkQDA3pmcdFYh3D8zheV,Coconut Cold Brew ,2.0,7.5,15.0,15.0
2019-12-31 13:32:53+00:00,igYq3hn8LuW1Gb1qPQK4OhpeV,White,1.0,4.0,4.0,4.0
2019-12-31 13:32:05+00:00,ygQmoYATIeUdWhwLLhiyN4teV,White,2.0,6.0,12.0,12.0
2019-12-31 13:04:06+00:00,KuP35GA5tORZQ6RvEarqLJyeV,Espresso,2.0,3.5,7.0,7.0
2019-12-31 13:00:36+00:00,071oFdjvGz2EM0YI1nQHm5seV,White,1.0,6.0,6.0,6.0
2019-12-31 12:57:58+00:00,K6L4I8WU1YYGnkAOLmAf6jgeV,Iced Cereal Milk Latte,1.0,7.5,7.5,7.5
2019-12-31 12:56:21+00:00,uW2viCpOeEb9o2slBn4HuKreV,White,1.0,5.0,5.0,5.0
2019-12-31 12:47:45+00:00,UDh87ftxAtZ2gMduttXeC36eV,Ham Cheese Kimchi Toast,1.0,10.0,10.0,10.0
2019-12-31 12:35:58+00:00,I7yLiNhvIifG1PXJi2juz3yeV,Black,1.0,5.0,5.0,5.0
2019-12-31 12:27:24+00:00,CSrlM5khrpHCtuIXHJgyXVveV,White,1.0,5.0,5.0,5.0
